,(AO)Percentage SLAs Met,Ageing,Average Resolution Effort - Incidents,Average Resolution Effort - Problems,Backlog Processing Efficiency - Incidents,Backlog Processing Efficiency - Problems,Delivered Defects,clusters,scores,anomaly,warning
174,100,0,5.63,24,1.05,1,0,0,0.23088766,0,No issues detected
175,100,0,6.1,24,1.04,1,0,0,0.231521719,0,No issues detected
176,100,0,4.04,0.17,1,1,0,0,0.235306684,0,No issues detected
177,100,0,1.55,1.55,1,1,0,0,0.234522185,0,No issues detected
178,100,0,4.99,14.88,0.94,1,0,0,0.232579831,0,No issues detected
179,100,0,0.4,9.71,1.02,2.33,0,0,0.214389767,0,No issues detected
180,100,0,0,2.99,1,1,0,0,0.234991696,0,No issues detected
181,100,0,4.45,14.33,1.01,1,0,0,0.234565566,0,No issues detected
182,100,0,6.36,8,1.37,1,0,0,0.228132168,0,No issues detected
183,100,0,17.43,60.8,1,1,0,0,0.20595742,0,No issues detected
184,100,0,2.2,1.42,1,1,0,0,0.235044976,0,No issues detected
185,100,39,0.27,20,1,1,0,0,0.167791822,0,No issues detected
186,100,98.1,159.08,2.67,1.66,1,0,0,-0.130293848,1,No issues detected
187,100,10,3.97,40.6,1.1,1,0,0,0.22271176,0,No issues detected
188,100,31,4.23,39.89,1.05,0.9,0,0,0.17048621,0,No issues detected
189,100,31,3.47,40.22,1.11,1,0,0,0.172087941,0,No issues detected
190,100,0,2.65,8,1,1,0,0,0.234386691,0,No issues detected
191,100,0,3.67,129,1,1,0,3,0.191241827,0,No issues detected
192,100,0,1,1,1,1,0,0,0.235544643,0,No issues detected
193,100,0,1,1,1,1,0,0,0.235544643,0,No issues detected
194,100,0,2.71,2.71,1,1,0,0,0.234081165,0,No issues detected
195,100,0,4.91,19.38,0.93,0.89,0,0,0.230460624,0,No issues detected
196,100,0,2.07,11,0.88,1,0,0,0.233929347,0,No issues detected
197,100,0,13.59,89.17,0.98,0.84,0,0,0.198176619,0,No issues detected
198,100,2,1.29,10,1,1,3,0,0.224022351,0,No issues detected
199,100,38,0.02,6,0.89,1,5,0,0.157390811,0,No issues detected
200,100,0,0.5,200,1.4,1,0,3,0.142408468,0,No issues detected
201,100,0,0.51,180,1.06,1,0,3,0.154086244,0,No issues detected
202,100,0,9.64,4,1,1,0,0,0.232058205,0,No issues detected
203,100,0,19.23,32.2,1,0.83,0,0,0.214176168,0,No issues detected
204,100,0,5.58,24,1.04,1,0,0,0.23088766,0,No issues detected
205,100,0,2.78,2.78,1,1,0,0,0.234081165,0,No issues detected
206,100,0,0.12,1,1,1,1,0,0.235618525,0,No issues detected
207,100,0,0.33,2.94,1.03,1.5,0,0,0.227107716,0,No issues detected
208,100,0,4.43,14.25,1.1,1,0,0,0.234565566,0,No issues detected
209,100,0,7.24,8,1.2,1,0,0,0.231360963,0,No issues detected
210,100,1,2,1,1,1,1,0,0.232762349,0,No issues detected
211,100,0,3.19,34,1,1,0,0,0.232032989,0,No issues detected
212,100,1,0.02,6,0.96,1,5,0,0.225012318,0,No issues detected
213,100,5,0.02,6,0.92,1,5,0,0.220075246,0,No issues detected
214,100,0,0,0,0.83,0.08,0,0,0.217379007,0,No issues detected
215,100,0,0,0,0.89,0.63,0,0,0.23000265,0,No issues detected
216,100,0,5.96,19,0.96,1,0,0,0.230670025,0,No issues detected
217,100,0,7.61,1.64,0.92,0.92,0,0,0.230987826,0,No issues detected
218,100,0,3.75,12.5,0.94,1,0,0,0.23475809,0,No issues detected
219,100,1,1,1,1,1,1,0,0.23330745,0,No issues detected
220,100,0,1,1,1,1,1,0,0.234691454,0,No issues detected
221,100,0,1.36,1.43,1,1,0,0,0.234522185,0,No issues detected
222,100,0,1,1,1,1,0,0,0.235544643,0,No issues detected
223,100,0,0.33,1,1,1,0,0,0.234998342,0,No issues detected
224,100,0,0.33,1,1,1.04,0,0,0.234998342,0,No issues detected
225,100,0,4.79,14.88,1.03,1,0,0,0.233951906,0,No issues detected
226,100,0,5.02,17.26,0.93,1,0,0,0.2320141,0,No issues detected
227,100,0,2.94,27.5,1,2,0,0,0.226025052,0,No issues detected
228,100,6,6.6,16.5,1.26,1.45,734,4,-0.071587737,1,Your Delivered Defects value looks very high compared to normal (atleast 43 times higher)
229,100,2,1.13,10,1,1,3,0,0.224022351,0,No issues detected
